transaction_id,transaction_date,transaction_type,community,project,building,property_type,rooms_bucket,area_sqft,price_aed,price_per_sqft,is_offplan
BAY-2025-03-24-88188,2025-03-24,sale,Dubai Maritime City,Orise by Beyond,Orise by Beyond Tower 2,apartment,1BR,765.96,2117000.0,2763.85,True
BAY-2025-03-24-83893,2025-03-24,sale,International City,Warsan Village,Warsan Village A,villa,3BR+,2012.96,2000000.0,993.56,True
BAY-2025-03-24-2233,2025-03-24,sale,International City,International City Phase 2 (Warsan 4),Modelux Tower 1,apartment,studio,522.59,418000.0,799.86,True
BAY-2025-03-24-88302,2025-03-24,sale,Dubai Harbour,Emaar Beachfront,The Bristol Luxury Hotels & Resorts,apartment,2BR,1505.22,8407888.0,5585.82,True
BAY-2025-03-24-76023,2025-03-24,sale,Umm Suqeim,Madinat Jumeirah Living,Al Jazi,apartment,3BR+,1827.28,5300000.0,2900.49,True
BAY-2025-03-24-86958,2025-03-24,sale,Jumeirah Lake Towers (JLT),Diamondz by Danube,,apartment,1BR,746.48,1789000.0,2396.58,True
BAY-2025-03-24-22447,2025-03-24,sale,Jumeirah Village Triangle (JVT),JVT District 5,The Imperial Residence,apartment,1BR,1065.3,848920.0,796.88,True
BAY-2025-03-24-3172,2025-03-24,sale,Dubai Land Residence Complex,Skycourts Towers,Skycourts Tower A,apartment,2BR,1271.11,584254.0,459.64,True
BAY-2025-03-24-87164,2025-03-24,sale,Business Bay,Bayz 102 by Danube,,apartment,studio,404.51,1433000.0,3542.56,True
BAY-2025-03-24-6277,2025-03-24,sale,Jumeirah Village Circle (JVC),JVC District 16,Dawn by Binghatti,apartment,1BR,1202.0,1560000.0,1297.84,True
BAY-2025-03-24-87762,2025-03-24,sale,Haven by Aldar,Verdes by Haven,Mint,apartment,3BR+,1926.42,2649200.0,1375.19,True
BAY-2025-03-24-88250,2025-03-24,sale,Dubai Islands,Flora Isle,,apartment,1BR,897.71,2842000.0,3165.83,True
BAY-2025-03-24-87949,2025-03-24,sale,Business Bay,Binghatti Skyrise,Binghatti Skyrise Tower A,apartment,studio,434.0,1150000.0,2649.77,True
BAY-2025-03-24-87664,2025-03-24,sale,Al Jaddaf,Dubai Healthcare City Phase 2,Binghatti Ivory,apartment,2BR,1260.24,2000000.0,1587.0,True
BAY-2025-03-24-87210,2025-03-24,sale,Culture Village (Jaddaf Waterfront),La Boutique by LMD,,apartment,1BR,534.0,960750.0,1799.16,True
BAY-2025-03-24-87210,2025-03-24,sale,Culture Village (Jaddaf Waterfront),La Boutique by LMD,,apartment,1BR,492.13,879795.0,1787.73,True
BAY-2025-03-24-747,2025-03-24,sale,Jumeirah Lake Towers (JLT),JLT Cluster O,Madina Tower,apartment,3BR+,3060.39,4350000.0,1421.39,True
BAY-2025-03-24-87882,2025-03-24,sale,Al Furjan,Taya Residences,,apartment,1BR,775.65,1101900.0,1420.61,True
BAY-2025-03-24-88070,2025-03-24,sale,Dubai Marina,Rove Home Dubai Marina,,apartment,1BR,603.1,2215000.0,3672.69,True
BAY-2025-03-24-88287,2025-03-24,sale,Dubai South,Emaar South,Greenville 2,villa,3BR+,2417.79,3315230.0,1371.18,True
BAY-2025-03-24-87754,2025-03-24,sale,Motor City,Sobha Solis,Sobha Solis Tower A,apartment,1BR,700.73,1306861.0,1865.0,True
BAY-2025-03-24-15875,2025-03-24,sale,Business Bay,DAMAC Maison Majestine,,apartment,studio,498.37,820000.0,1645.36,True
BAY-2025-03-24-88425,2025-03-24,sale,Expo City,Al Waha Residences,,apartment,2BR,1660.98,4153000.0,2500.33,True
BAY-2025-03-24-75297,2025-03-24,sale,Dubai Hills Estate,Park Ridge,Park Ridge Tower C,apartment,1BR,648.85,1450000.0,2234.72,True
BAY-2025-03-24-2986,2025-03-24,sale,Liwan,Queue Point,Mazaya 10B,apartment,1BR,583.3,520000.0,891.48,False
BAY-2025-03-24-88188,2025-03-24,sale,Dubai Maritime City,Orise by Beyond,Orise by Beyond Tower 2,apartment,2BR,1278.97,3761000.0,2940.65,True
BAY-2025-03-24-2819,2025-03-24,sale,Dubai Silicon Oasis (DSO),Topaz Residences 2,,apartment,1BR,943.03,943030.0,1000.0,True
BAY-2025-03-24-626,2025-03-24,sale,Arabian Ranches,Al Reem,Al Reem 2,villa,3BR+,2514.34,4200000.0,1670.42,True
BAY-2025-03-24-88019,2025-03-24,sale,Dubai Studio City,The First Collection at Dubai Studio City,,apartment,studio,296.22,1096000.0,3699.95,True
BAY-2025-03-24-2259,2025-03-24,sale,Al Rashidiya,,,land,,,4500000.0,,True
BAY-2025-03-24-86844,2025-03-24,sale,International City,International City Phase 2 (Warsan 4),HZ Residences 4,apartment,1BR,1259.27,990652.12,786.69,True
BAY-2025-03-24-16916,2025-03-24,sale,Dubai Production City (IMPZ),Ikarus Building,,apartment,2BR,1024.94,828888.0,808.72,False
BAY-2025-03-24-249,2025-03-24,sale,Dubai Sports City,Elite Sports Residence,Elite Sports Residence 8,apartment,1BR,814.29,700000.0,859.64,True
BAY-2025-03-24-4101,2025-03-24,sale,DAMAC Hills,DAMAC Villas by Paramount Hotels and Resorts,,villa,3BR+,2724.56,4300000.0,1578.24,True
